blockTime,Amount
2022-03-30,38629
2022-03-31,651243
2022-04-01,544623
2022-04-02,325367
2022-04-03,351037
2022-04-04,575547
2022-04-05,591824
2022-04-06,667452
2022-04-07,610664
2022-04-08,648636
2022-04-09,364992
2022-04-10,253968
2022-04-11,559117
2022-04-12,646692
2022-04-13,702774
2022-04-14,747429
2022-04-15,545033
2022-04-16,137154
2022-04-17,375975
2022-04-18,75402
2022-04-19,384699
2022-04-20,323498
2022-04-21,315405
2022-04-22,461216
2022-04-23,292462
2022-04-24,360862
2022-04-25,429812
2022-04-26,405679
2022-04-27,525348
2022-04-28,563552
2022-04-29,344552
2022-04-30,283210
2022-05-01,221113
2022-05-02,325518
2022-05-03,447208
2022-05-04,404841
2022-05-05,486493
2022-05-06,436184
2022-05-07,312470
2022-05-08,206501
2022-05-09,365644
2022-05-10,505933
2022-05-11,83253
